participant_id,trial_index,choice,p_choice,nll
30496,1,1,0.5,0.6931471805579453
30496,2,1,0.6513548646660542,0.4287006782749835
30496,3,0,0.5774953651858118,0.5490548622689365
30496,4,1,0.28140560742914383,1.267958207598667
30496,5,1,0.4610167793123159,0.7743208390050991
30496,6,0,0.44167300566462553,0.8171854768824467
30496,7,1,0.480478678047907,0.7329724260643654
30496,8,0,0.4707366066334114,0.7534565629714188
30496,9,0,0.5097643834260159,0.6738066532959024
30496,10,0,0.5292633933665886,0.6362690629716538
30496,11,1,0.7490872131147275,0.2888998628366134
30496,12,1,0.7669924765752232,0.26527828655969876
30496,13,1,0.7756048079953142,0.2541121565659203
30496,14,0,0.49633795610721343,0.7004982211582748
30496,15,0,0.6524628898080956,0.4270010152584598
30496,16,0,0.7215470408358251,0.32635770422851385
30496,17,0,0.7527403316567737,0.2840349557309775
30496,18,0,0.7674285080976971,0.26470995291649985
30496,19,1,0.22545924661387962,1.489615860918041
30496,20,0,0.8637655204519761,0.14645393537517878
30496,21,0,0.8661183579293816,0.1437337077834289
30496,22,0,0.8672818415602576,0.14239127825567766
30496,23,1,0.13213963461792844,2.0238960774899533
30496,24,0,0.8992182163003108,0.10622954170570277
30496,25,1,0.10055384680577636,2.2970619058445965
30496,26,0,0.9124788203676928,0.09159040434971683
30496,27,0,0.9125793014877573,0.09148029156047172
30496,28,0,0.9126295029223537,0.09142528258343015
30496,29,0,0.9126545938628304,0.09139778994212296
30496,30,0,0.9126671368894305,0.09138404658237559
30496,31,0,0.9126734077918918,0.09137717564261633
30496,32,0,0.9126765430904218,0.09137374035775107
30496,33,0,0.9126781107015126,0.09137202276157044
30496,34,0,0.9126788944975145,0.09137116397504305
30496,35,0,0.9126792863931297,0.09137073458466993
30496,36,0,0.912679482340341,0.09137051989020581
30496,37,0,0.9126795803137975,0.09137041254315452
30496,38,0,0.9126796293004883,0.09137035886967419
30496,39,0,0.9126796537938244,0.09137033203294527
30496,40,0,0.9126796660404902,0.09137031861458357
30496,41,1,0.08732032783617749,2.4381719928734347
30496,42,0,0.9185944144430148,0.08491058761838519
30496,43,0,0.9185944173157929,0.08491058449102225
30496,44,0,0.9185944187521818,0.08491058292734097
30496,45,0,0.9185944194703763,0.08491058214550026
30496,46,0,0.9185944198294735,0.08491058175457998
30496,47,0,0.9185944200090221,0.08491058155911983
30496,48,0,0.9185944200987965,0.08491058146138963
30496,49,0,0.9185944201436836,0.08491058141252467
30496,50,0,0.9185944201661274,0.08491058138809199
30496,51,0,0.9185944201773492,0.08491058137587572
30496,52,0,0.91859442018296,0.08491058136976765
30496,53,1,0.08140557981423456,2.508311460224251
30496,54,0,0.7705996839106524,0.26058625697488713
30496,55,0,0.490426280102626,0.7124803066776572
30496,56,1,0.6600011990009351,0.4155136272937173
30496,57,1,0.7805971695773364,0.24769605019872154
30496,58,1,0.8280791991190314,0.18864647806000423
30496,59,1,0.8485839206974672,0.16418629442728788
30496,60,1,0.8580598938606846,0.153081375564926
30496,61,1,0.8626094407560643,0.14779325029192517
30496,62,1,0.8648378870228421,0.1452132034596962
30496,63,1,0.8659406302584395,0.14393892905219371
30496,64,1,0.8664891448722678,0.1433056974603215
30496,65,1,0.8667626895634645,0.14299005412675303
30496,66,1,0.866899283960397,0.14283247508389346
30496,67,1,0.8669675366974071,0.14275374615704378
30496,68,1,0.8670016519537654,0.14271439683459217
30496,69,0,0.13298129319568983,2.0175468133093633
30496,70,1,0.8991079604863664,0.10635216219080236
30496,71,1,0.8991146690763796,0.10634470083434637
30496,72,0,0.10088197677712384,2.2938039921752322
30496,73,1,0.9124332060094814,0.0916403950972833
30496,74,1,0.9124346832545698,0.09163877608135666
30496,75,1,0.9124354218686653,0.09163796658363572
30496,76,1,0.9124357911736011,0.09163756183733571
30496,77,1,0.9124359758255408,0.09163735946482594
30496,78,0,0.08756393184862121,2.435386102703163
30496,79,1,0.9184801575030297,0.08503497771324267
30496,80,1,0.9184802007642097,0.08503493061241137
30496,81,1,0.918480222394792,0.0850349070620049
30496,82,0,0.08151976678991897,2.5069097508308498
30496,83,1,0.921357608349711,0.08190703540640423
30496,84,0,0.07864238641717386,2.5428444574925986
30496,85,1,0.9227612085354157,0.08038479026266383
30496,86,1,0.9227612111091881,0.08038478747345641
30496,87,1,0.9227612123960743,0.08038478607885265
30496,88,1,0.9227612130395175,0.08038478538155071
30496,89,0,0.07723878663876096,2.5608535305073934
30496,90,1,0.7756048072097252,0.25411215757879296
30496,91,0,0.22439519239746755,1.4943465298123517
30496,92,1,0.8664718361933959,0.1433256733040498
30496,93,1,0.8664718363239595,0.14332567315336556
30496,94,0,0.13352816361075848,2.01344286000752
30496,95,1,0.8988997206048922,0.10658379622061773
30496,96,1,0.898899720630531,0.10658379619209528
30496,97,1,0.8988997206433506,0.10658379617783392
30496,98,1,0.8988997206497602,0.10658379617070338
30496,99,1,0.8988997206529651,0.10658379616713803
30496,100,1,0.8988997206545677,0.10658379616535518
