participant_id,trial,choice,reward,p_choice,nll
134,1,0,0.0,0.5,0.6931471805579453
134,2,1,0.0,0.5,0.6931471805579453
134,3,1,0.0,0.5,0.6931471805579453
134,4,0,1.0,0.5,0.6931471805579453
134,5,0,1.0,0.9212258790244695,0.08205001869738501
134,6,0,1.0,0.9711675732084274,0.029256247610103002
134,7,0,1.0,0.9815139849338911,0.0186590168343838
134,8,0,1.0,0.9847506556183048,0.015366811359010595
134,9,0,1.0,0.985965038377676,0.014134383041949741
134,10,0,0.0,0.9864576493801619,0.013634884617210463
134,11,0,1.0,0.8635110503665636,0.1467485842942371
134,12,0,1.0,0.9627703954953735,0.03794032188790711
134,13,0,1.0,0.9793341250817958,0.020882402459164996
134,14,0,0.0,0.9839985178986795,0.016130888130530638
134,15,0,1.0,0.8546948874397695,0.15701073052833658
134,16,0,1.0,0.9616305906819353,0.0391249034329264
134,17,0,0.0,0.9790594875760185,0.021162874684771103
134,18,0,1.0,0.8394339478906908,0.17502748585578065
134,19,0,1.0,0.9597149882249972,0.04111892586459
134,20,0,1.0,0.9786075103114138,0.021624625608827743
134,21,0,1.0,0.9837576605917452,0.01637569214717638
134,22,0,0.0,0.9855783380001072,0.014526664933548648
134,23,0,1.0,0.8602438352403668,0.15053940057100745
134,24,0,1.0,0.9623448693454318,0.03838240051524223
134,25,0,1.0,0.9792310772937446,0.020987630294338675
134,26,0,1.0,0.9839640776824123,0.016165889015555594
134,27,0,1.0,0.9856576101836826,0.014446236019200686
134,28,0,1.0,0.9863307522452184,0.013763532104202834
134,29,0,1.0,0.986610654264638,0.013479791268946729
134,30,0,0.0,0.9867293177686411,0.013359524608535673
134,31,0,1.0,0.8645491165026847,0.14554716054651623
134,32,0,1.0,0.9629064015029628,0.03779906660765723
134,33,0,1.0,0.9793671932877179,0.020848637019161394
134,34,0,1.0,0.9840095899653065,0.016119636076656625
134,35,0,0.0,0.9856751652927607,0.014428425622806008
134,36,0,0.0,0.8605969533858422,0.1501289986875036
134,37,1,1.0,0.3136633891836924,1.1594348770524254
134,38,1,1.0,0.8423838230701485,0.17151952172858617
134,39,1,0.0,0.939000512103293,0.0629392544020388
134,40,1,1.0,0.6747862323454237,0.3933593310874815
134,41,1,0.0,0.911082667665951,0.09312164196763886
134,42,0,0.0,0.36474743925293296,1.0085501121551324
134,43,0,0.0,0.26874296422557087,1.3139998795050187
134,44,1,1.0,0.7672691331553231,0.26491764847641047
134,45,1,1.0,0.9473369300174873,0.05410046235879582
134,46,1,1.0,0.9739076048523614,0.02643884138609997
134,47,1,0.0,0.9808041490887064,0.01938248349744701
134,48,1,1.0,0.8333612211259301,0.1822880920015909
134,49,1,1.0,0.955595403398098,0.04542067371461535
134,50,1,1.0,0.9757971372785949,0.024500565321044207
134,51,1,1.0,0.9814188328969693,0.01875596568167177
134,52,1,1.0,0.9834231053337759,0.016715828922595755
134,53,1,0.0,0.9842184765003847,0.015907377609844533
134,54,1,1.0,0.8449313291895029,0.16849992215749762
134,55,1,1.0,0.9571346139098982,0.04381123502737672
134,56,1,0.0,0.9761690907624541,0.02411945884182601
134,57,1,0.0,0.8197354934406283,0.19877355973402416
134,58,0,1.0,0.3614750118611695,1.0175623632519313
134,59,0,0.0,0.8590692362732647,0.15190575922819888
134,60,0,1.0,0.5916562321233473,0.5248295017424176
134,61,0,1.0,0.901309692692894,0.10390635935145377
134,62,0,1.0,0.9527478909796533,0.04840495284315671
134,63,0,1.0,0.9659261077517608,0.03466794070492293
134,64,0,0.0,0.9704340827105249,0.030011799636502447
134,65,0,1.0,0.7493316180835882,0.2885736456723078
134,66,0,1.0,0.9257672322480305,0.07713244499597777
