subject,repetition_rho,wsls_P,loglik_per_trial_repetition,loglik_per_trial_wsls
0,0.6896551724137931,0.6896551724137931,-0.6193762897414469,-0.6193762897414469
1,0.6206896551724138,0.6551724137931034,-0.6637254974722313,-0.6441857770863766
2,0.7241379310344828,0.7931034482758621,-0.5890026049647303,-0.5098156995816888
3,0.5862068965517241,0.6206896551724138,-0.6782093939033128,-0.6637254974722313
4,0.5862068965517241,0.5517241379310345,-0.6782093939033127,-0.6877868229921129
5,0.5172413793103449,0.4482758620689655,-0.6925525323607232,-0.6877868229921128
6,0.6551724137931034,0.5172413793103449,-0.6441857770863766,-0.6925525323607232
7,0.6206896551724138,0.6206896551724138,-0.6637254974722313,-0.6637254974722313
8,0.6206896551724138,0.6551724137931034,-0.6637254974722313,-0.6441857770863765
9,0.6896551724137931,0.7931034482758621,-0.6193762897414468,-0.5098156995816888
10,0.5862068965517241,0.6206896551724138,-0.6782093939033127,-0.6637254974722313
11,0.896551724137931,0.6896551724137931,-0.33259421431189246,-0.6193762897414469
12,0.4827586206896552,0.5862068965517241,-0.6925525323607232,-0.6782093939033128
13,0.5517241379310345,0.6896551724137931,-0.6877868229921128,-0.6193762897414469
14,0.41379310344827586,0.6551724137931034,-0.6782093939033127,-0.6441857770863765
15,0.41379310344827586,0.5172413793103449,-0.6782093939033128,-0.6925525323607232
16,0.5517241379310345,0.5862068965517241,-0.6877868229921128,-0.6782093939033126
17,0.7586206896551724,0.5172413793103449,-0.5526646224944002,-0.6925525323607232
18,0.6896551724137931,0.6206896551724138,-0.6193762897414468,-0.6637254974722313
19,0.7241379310344828,0.6551724137931034,-0.5890026049647301,-0.6441857770863765
20,0.4482758620689655,0.6896551724137931,-0.6877868229921129,-0.6193762897414468
21,0.7931034482758621,0.8620689655172413,-0.5098156995816888,-0.4011898621870057
22,0.6896551724137931,0.6896551724137931,-0.6193762897414467,-0.6193762897414468
23,0.6206896551724138,0.6206896551724138,-0.6637254974722313,-0.6637254974722311
24,0.6896551724137931,0.5517241379310345,-0.6193762897414469,-0.6877868229921128
25,0.5172413793103449,0.6551724137931034,-0.6925525323607232,-0.6441857770863766
26,0.5517241379310345,0.4827586206896552,-0.6877868229921128,-0.6925525323607232
27,0.5862068965517241,0.5517241379310345,-0.6782093939033127,-0.6877868229921128
28,0.5517241379310345,0.5172413793103449,-0.6877868229921128,-0.6925525323607232
29,0.41379310344827586,0.4827586206896552,-0.6782093939033129,-0.6925525323607232
30,0.7931034482758621,0.5517241379310345,-0.5098156995816888,-0.6877868229921128
31,0.7931034482758621,0.7586206896551724,-0.5098156995816888,-0.5526646224944002
