subject,repetition_rho,wsls_P,loglik_per_trial_repetition,loglik_per_trial_wsls
102,0.9928057553956835,0.4892086330935252,-0.042668116212028116,-0.6929142552752339
104,0.7050359712230215,0.6546762589928058,-0.6065367558314638,-0.6445036912845613
106,0.8848920863309353,0.7841726618705036,-0.35706317581670716,-0.5215757992253586
107,0.920863309352518,0.7410071942446043,-0.2766557908105977,-0.5720007851301706
108,0.8129496402877698,0.7697841726618705,-0.4819175769936197,-0.5395369966054026
109,0.8848920863309353,0.7553956834532374,-0.3570631758167072,-0.5563293676379619
114,0.8561151079136691,0.7194244604316546,-0.4119534931929089,-0.5934960712755455
117,0.920863309352518,0.7697841726618705,-0.2766557908105977,-0.5395369966054024
118,0.920863309352518,0.7122302158273381,-0.2766557908105977,-0.600142686167513
119,0.9496402877697842,0.7410071942446043,-0.19957303511063318,-0.5720007851301706
122,0.6906474820143885,0.7050359712230215,-0.6185816212189257,-0.6065367558314638
125,0.8920863309352518,0.7769784172661871,-0.3421310039827945,-0.5307057614151863
126,0.9568345323741008,0.7553956834532374,-0.17787687652017672,-0.5563293676379619
128,0.841726618705036,0.7841726618705036,-0.4367956284888183,-0.5215757992253585
129,0.8705035971223022,0.7194244604316546,-0.38542826651675915,-0.5934960712755455
130,0.8633093525179856,0.841726618705036,-0.39891026595077883,-0.43679562848881837
131,0.935251798561151,0.7697841726618705,-0.239837244243989,-0.5395369966054024
132,0.9064748201438849,0.7266187050359713,-0.3106188113833089,-0.5865930247093258
134,0.8920863309352518,0.7985611510791367,-0.34213100398279456,-0.5023906336301537
135,0.8920863309352518,0.7769784172661871,-0.34213100398279456,-0.5307057614151862
137,0.8920863309352518,0.7769784172661871,-0.34213100398279456,-0.5307057614151862
138,0.8345323741007195,0.8057553956834532,-0.44862624151408215,-0.49231948012948695
139,0.9568345323741008,0.7553956834532374,-0.17787687652017672,-0.5563293676379618
140,0.8201438848920863,0.7697841726618705,-0.4711752371689832,-0.5395369966054026
142,0.920863309352518,0.7841726618705036,-0.2766557908105977,-0.5215757992253586
144,0.9280575539568345,0.762589928057554,-0.25863471663719423,-0.5480761381359223
145,0.8345323741007195,0.7194244604316546,-0.44862624151408204,-0.5934960712755455
146,0.935251798561151,0.7769784172661871,-0.239837244243989,-0.5307057614151864
148,0.6618705035971223,0.6115107913669064,-0.6397869808365589,-0.6680674920073268
151,0.9640287769784173,0.697841726618705,-0.1549219708602412,-0.612681926780119
152,0.841726618705036,0.8057553956834532,-0.4367956284888184,-0.49231948012948695
155,0.5827338129496403,0.7194244604316546,-0.6793942486691101,-0.5934960712755455
156,0.935251798561151,0.7841726618705036,-0.239837244243989,-0.5215757992253586
160,0.9496402877697842,0.762589928057554,-0.19957303511063315,-0.5480761381359223
164,0.7122302158273381,0.6474820143884892,-0.6001426861675129,-0.6489914515685006
165,0.8705035971223022,0.7338129496402878,-0.38542826651675915,-0.579429402750606
166,0.9424460431654677,0.762589928057554,-0.22018341749911235,-0.5480761381359223
169,0.9568345323741008,0.7266187050359713,-0.17787687652017675,-0.5865930247093258
204,0.8920863309352518,0.7338129496402878,-0.34213100398279456,-0.579429402750606
207,0.6546762589928058,0.6618705035971223,-0.6445036912845613,-0.6397869808365588
208,0.8992805755395683,0.8129496402877698,-0.3266608412069417,-0.4819175769936196
209,0.8633093525179856,0.7482014388489209,-0.39891026595077883,-0.5643024535419706
211,0.841726618705036,0.7482014388489209,-0.43679562848881825,-0.5643024535419706
212,0.935251798561151,0.7553956834532374,-0.239837244243989,-0.556329367637962
213,0.8848920863309353,0.841726618705036,-0.3570631758167072,-0.43679562848881825
214,0.8705035971223022,0.7482014388489209,-0.3854282665167592,-0.5643024535419706
215,0.8776978417266187,0.7482014388489209,-0.3714869237320373,-0.5643024535419706
216,0.9496402877697842,0.7697841726618705,-0.19957303511063315,-0.5395369966054026
217,0.9136690647482014,0.762589928057554,-0.2939657332911442,-0.5480761381359223
218,0.4892086330935252,0.5611510791366906,-0.6929142552752339,-0.6856495144518416
219,0.5539568345323741,0.6618705035971223,-0.687313146400265,-0.6397869808365589
223,0.8776978417266187,0.7769784172661871,-0.3714869237320373,-0.5307057614151862
227,0.9064748201438849,0.8129496402877698,-0.3106188113833089,-0.4819175769936197
232,0.9280575539568345,0.7697841726618705,-0.25863471663719423,-0.5395369966054027
236,0.8920863309352518,0.7410071942446043,-0.3421310039827945,-0.5720007851301706
238,0.9280575539568345,0.7553956834532374,-0.25863471663719423,-0.5563293676379619
