trial,data_mean,data_sem,pred_repetition_mean,pred_repetition_sem,pred_wsls_mean,pred_wsls_sem,gen_repetition_mean,gen_repetition_sem,gen_wsls_mean,gen_wsls_sem
1,0.5535714285714286,0.06643069724489686,0.5,0.0,0.5,0.0,0.5078571428571429,0.00944794507714563,0.5146428571428572,0.009445058926207497
2,0.6607142857142857,0.06326967767977505,0.5409815005138748,0.05013452614861356,0.6363052415210688,0.02810025002908782,0.5060714285714286,0.009448415168600888,0.6357142857142857,0.00909437881042583
3,0.7857142857142857,0.0548321052556242,0.6316803699897225,0.04726334343410248,0.6699640287769782,0.024607742206127697,0.5078571428571429,0.00944794507714563,0.6335714285714286,0.009105702166958425
4,0.8928571428571429,0.04133125445413177,0.7168550873586844,0.04127601222069436,0.6483812949640289,0.026985795557888548,0.5028571428571429,0.009448957552757835,0.6435714285714286,0.00905118865315406
5,0.9642857142857143,0.024798752672479055,0.8114080164439876,0.028491505801531296,0.6436279547790338,0.027441195689001018,0.5135714285714286,0.009445630439644137,0.6535714285714286,0.008992374077249506
6,1.0,0.0,0.8427543679342239,0.021109107092909724,0.6305241521068856,0.028586182813037184,0.5057142857142857,0.009448494720225784,0.6303571428571428,0.009122323781841916
7,0.9464285714285714,0.030089607428789408,0.8622816032887975,0.014133220226930854,0.6129239465570401,0.02989453128892882,0.49714285714285716,0.009448957552757835,0.6507142857142857,0.009009621921702042
8,0.9107142857142857,0.03810553379155523,0.8374871531346352,0.022573793565938097,0.6154933196300103,0.029718728727498228,0.5039285714285714,0.00944882015171602,0.6396428571428572,0.009073113193247847
9,0.9285714285714286,0.03441514684497972,0.808453237410072,0.029059803975039197,0.6631551901336074,0.025417390592448613,0.5064285714285715,0.009448330794933825,0.6403571428571428,0.009069176062138388
10,0.9642857142857143,0.024798752672479066,0.8183453237410072,0.02708785248197683,0.6560894141829391,0.026197791803478164,0.4982142857142857,0.009449051562845728,0.6267857142857143,0.009140283339095804
11,0.9821428571428571,0.01769698587437706,0.8484069886947586,0.019386304763376154,0.6811408016443988,0.023140130471290526,0.5053571428571428,0.009448569449929766,0.6428571428571429,0.009055224157805743
12,0.875,0.04419417382415922,0.8503340184994862,0.018755912756546988,0.6149794450154162,0.029754289302165497,0.4992857142857143,0.009449102183275005,0.6375,0.009084794006627728
13,0.9642857142857143,0.024798752672479062,0.7917523124357657,0.03199174878356722,0.6522353545734839,0.026599698769457256,0.5021428571428571,0.009449025047274559,0.6446428571428572,0.00904509424805907
14,0.9821428571428571,0.01769698587437706,0.8512332990750257,0.018453132179649827,0.6208890030832477,0.029333036803571303,0.4953571428571429,0.009448704444025987,0.6678571428571428,0.008900721872647576
15,0.9642857142857143,0.024798752672479055,0.8547019527235354,0.017227660482209806,0.6783144912641312,0.02352886068456933,0.5078571428571429,0.009447945077145633,0.6560714285714285,0.008976988621383675
16,0.9642857142857143,0.024798752672479055,0.8491778006166494,0.01913705587385419,0.6623843782117163,0.02550538440140671,0.5085714285714286,0.009447723282286281,0.6607142857142857,0.008947683626171161
17,0.9107142857142857,0.03810553379155523,0.8538026721479958,0.017554767588832294,0.6446557040082218,0.027344623740015336,0.5071428571428571,0.009448147580947705,0.6535714285714286,0.008992374077249503
18,0.9464285714285714,0.030089607428789408,0.8146197327852004,0.027854297888013465,0.6553186022610481,0.026279472418341627,0.5028571428571429,0.009448957552757837,0.6357142857142857,0.00909437881042583
19,0.9642857142857143,0.024798752672479062,0.8320914696813978,0.02396019728834338,0.624229188078109,0.029082755872134193,0.505,0.009448639357827634,0.635,0.009098174856216374
20,0.9821428571428571,0.017696985874377066,0.852774922918808,0.017920308224477183,0.6622559095580677,0.025519980118753113,0.5153571428571428,0.009444653781812607,0.6453571428571429,0.009041003836103283
21,0.9464285714285714,0.030089607428789408,0.8511048304213772,0.018496737800855582,0.6423432682425487,0.027560472389687497,0.5046428571428572,0.009448704444025976,0.6542857142857142,0.008988006261666976
22,0.9464285714285714,0.030089607428789408,0.8338900308324769,0.023509606917489698,0.6862795477903392,0.022399775124903463,0.4992857142857143,0.009449102183275009,0.6389285714285714,0.009077028542283667
23,0.9107142857142857,0.03810553379155523,0.8336330935251798,0.023574654280666175,0.632065775950668,0.028459462581422863,0.5007142857142857,0.009449102183275004,0.635,0.009098174856216366
24,0.9285714285714286,0.03441514684497971,0.8266957862281604,0.025250073028646083,0.6089414182939362,0.030157276171665106,0.49857142857142855,0.009449073257348744,0.6410714285714286,0.009065217120574195
25,0.9107142857142857,0.038105533791555235,0.8319630010277492,0.023991966368675278,0.6384892086330936,0.027908909500802274,0.49107142857142855,0.009447605150290816,0.6396428571428572,0.009073113193247852
26,0.9464285714285714,0.030089607428789408,0.8300359712230218,0.024462106615357474,0.6630267214799586,0.02543210634100794,0.5017857142857143,0.00944905156284573,0.6439285714285714,0.009049162674889736
27,0.9464285714285714,0.030089607428789408,0.8377440904419322,0.022505067935633,0.6671377183967113,0.024951040935308463,0.5153571428571428,0.009444653781812608,0.6575,0.008968073331865388
28,0.9107142857142857,0.038105533791555235,0.849563206577595,0.01901099675739169,0.6378468653648509,0.027965638185308117,0.5082142857142857,0.00944783659118022,0.6614285714285715,0.008943090236253093
29,0.9285714285714286,0.034415146844979705,0.8228417266187051,0.026120279073929914,0.6381038026721477,0.02794299217304995,0.51,0.009447221813845491,0.6467857142857143,0.009032756937186762
30,0.9464285714285714,0.030089607428789408,0.8288797533401848,0.02473861610758886,0.6402877697841726,0.02774803963801055,0.49392857142857144,0.009448415168600887,0.6446428571428572,0.009045094248059072
31,0.9107142857142857,0.03810553379155523,0.8392857142857143,0.022087103277291815,0.645426515930113,0.027271516480960063,0.5053571428571428,0.009448569449929774,0.6542857142857142,0.008988006261666973
32,0.9285714285714286,0.03441514684497971,0.8156474820143884,0.02764588265731765,0.6009763617677286,0.030648304580618353,0.5082142857142857,0.009447836591180226,0.6471428571428571,0.009030681424847586
33,0.9642857142857143,0.024798752672479038,0.8227132579650565,0.026148612500107814,0.6980986639260022,0.02050913782051787,0.4925,0.009448048740348458,0.6521428571428571,0.009001042618584299
34,0.9285714285714286,0.03441514684497971,0.8332476875642343,0.02367179681062469,0.6585303186022609,0.02593474084981259,0.5003571428571428,0.009449109414742664,0.6482142857142857,0.009024421736721718
35,0.8928571428571429,0.04133125445413177,0.8401849948612538,0.021838699486966734,0.6269270298047276,0.028873985716914522,0.49642857142857144,0.009448870773385134,0.6407142857142857,0.009067199319444991
36,0.9285714285714286,0.0344151468449797,0.8001027749229187,0.030581322424255,0.6442702980472764,0.02738095886303398,0.4942857142857143,0.009448494720225775,0.6375,0.00908479400662772
37,0.7857142857142857,0.054832105255624194,0.8265673175745117,0.025279731561051306,0.32207091469681387,0.023580904185808025,0.5025,0.009448993710594789,0.3575,0.00905723369152301
38,0.5357142857142857,0.06664464529394457,0.714542651593011,0.041491241311524624,0.3648509763617676,0.028199799635431635,0.5,0.00944911182523068,0.3492857142857143,0.00900962192170204
39,0.23214285714285715,0.0564188024351951,0.5346865364850973,0.0502192847582362,0.31333504624871533,0.022342408746833926,0.5021428571428571,0.009449025047274564,0.34535714285714286,0.008985813953407399
40,0.25,0.057863756235784464,0.30819630010277493,0.043434101145602665,0.40930113052415223,0.031216919873273748,0.5057142857142857,0.009448494720225764,0.34464285714285714,0.008981412515445073
41,0.19642857142857142,0.05309095762313116,0.29573484069886957,0.04240737552937944,0.361639260020555,0.027920285570039553,0.49607142857142855,0.009448820151716004,0.3382142857142857,0.008940785013733998
42,0.14285714285714285,0.04676097647914121,0.26066289825282635,0.0389944123725733,0.3260534429599177,0.024105668070521277,0.49214285714285716,0.009447945077145437,0.3539285714285714,0.009036891409168713
43,0.10714285714285714,0.04133125445413177,0.22995889003083247,0.035231794232514504,0.3811664953751285,0.02948264136370682,0.48678571428571427,0.009445811291123814,0.3525,0.009028600389872063
44,0.07142857142857142,0.034415146844979726,0.21120246659815,0.03246696891940246,0.3505909558067832,0.026884343317530788,0.49857142857142855,0.009449073257348747,0.3625,0.009084794006627732
45,0.10714285714285714,0.04133125445413177,0.19064748201438847,0.028888598492592295,0.3463514902363824,0.026454206122691126,0.495,0.009448639357827632,0.3507142857142857,0.009018112241289756
46,0.07142857142857142,0.03441514684497971,0.21736896197327854,0.03342196123821333,0.36703494347379234,0.028384590734154547,0.495,0.009448639357827632,0.355,0.009043051792082602
47,0.10714285714285714,0.04133125445413177,0.17574511819116134,0.025805804609927294,0.3043422404933196,0.020923375046135152,0.49,0.009447221813845495,0.34714285714285714,0.008996719518753788
48,0.05357142857142857,0.030089607428789415,0.21017471736896193,0.03230301534255205,0.35110483042137725,0.026935204737253936,0.4882142857142857,0.009446486439389192,0.37107142857142855,0.009129571721088341
49,0.07142857142857142,0.034415146844979705,0.17638746145940393,0.025949390360254548,0.3815519013360738,0.029510323158679744,0.49464285714285716,0.009448569449929767,0.36964285714285716,0.009122323781841912
50,0.08928571428571429,0.03810553379155523,0.1677800616649537,0.023928373712425472,0.3864337101747175,0.02985104795255544,0.49357142857142855,0.009448330794933821,0.3607142857142857,0.009075073588759435
51,0.07142857142857142,0.03441514684497973,0.18872045220966083,0.028516563605331564,0.347764645426516,0.02659969876945726,0.4878571428571429,0.009446324890446015,0.3364285714285714,0.008929173449091872
52,0.125,0.04419417382415922,0.17446043165467628,0.025515342970346112,0.35264645426515934,0.02708617145879488,0.49357142857142855,0.009448330794933821,0.3628571428571429,0.009086721802692852
53,0.08928571428571429,0.03810553379155523,0.216726618705036,0.033324710564133594,0.3369732785200411,0.025432106341007937,0.4957142857142857,0.009448764708624505,0.35678571428571426,0.009053209146235214
54,0.07142857142857142,0.03441514684497973,0.17998458376156212,0.026734133022586974,0.3832219938335046,0.02962894429346704,0.4882142857142857,0.009446486439389189,0.3317857142857143,0.0088983135256397
55,0.05357142857142857,0.030089607428789408,0.18910585817060638,0.028591543405321815,0.3778263103802673,0.029237834871307742,0.48714285714285716,0.009445987316571978,0.3632142857142857,0.009088644177672392
56,0.10714285714285714,0.04133125445413177,0.16071428571428575,0.02208710327729181,0.32052929085303183,0.023371353924748223,0.49785714285714283,0.009449025047274563,0.3385714285714286,0.008943090236253094
57,0.26785714285714285,0.059177350559500214,0.21557040082219933,0.0331483802599607,0.6834532374100719,0.02281250262032341,0.4975,0.009448993710594789,0.6435714285714286,0.009051188653154059
58,0.48214285714285715,0.06677268507633348,0.3030575539568346,0.04302148886044386,0.6345066803699897,0.028254588343251032,0.49714285714285716,0.009448957552757833,0.6417857142857143,0.009061236339967341
59,0.6428571428571429,0.06403010407148536,0.5001284686536485,0.05043273928857245,0.6348920863309352,0.028221759211153528,0.505,0.009448639357827634,0.6507142857142857,0.00900962192170204
60,0.8035714285714286,0.05309095762313116,0.6328365878725594,0.04720553164220903,0.6554470709146966,0.02626590467330635,0.5060714285714286,0.009448415168600885,0.6435714285714286,0.009051188653154059
61,0.9107142857142857,0.03810553379155523,0.7357399794450155,0.039383758743704346,0.6205035971223022,0.029361341457332723,0.5103571428571428,0.009447084387558619,0.6232142857142857,0.009157710252566833
62,0.875,0.04419417382415922,0.811022610483042,0.02856658232247562,0.6324511819116135,0.02842746099768031,0.5142857142857142,0.009445254257474445,0.655,0.008983616039371835
63,0.9464285714285714,0.030089607428789397,0.771968139773895,0.03496609945271292,0.6801130524152105,0.023282946744819812,0.5028571428571429,0.009448957552757835,0.6457142857142857,0.009038950376382509
64,0.9285714285714286,0.034415146844979705,0.8202723535457348,0.02667913270263238,0.6747173689619732,0.024005916958179517,0.5110714285714286,0.009446795062525428,0.645,0.009043051792082599
65,0.9285714285714286,0.034415146844979705,0.8252826310380266,0.025573791414511438,0.6080421377183967,0.030214992210112795,0.5142857142857142,0.009445254257474443,0.6435714285714286,0.00905118865315406
