trial,data_mean,data_sem,pred_repetition_mean,pred_repetition_sem,pred_wsls_mean,pred_wsls_sem,gen_repetition_mean,gen_repetition_sem,gen_wsls_mean,gen_wsls_sem
1,0.53125,0.08821554523934542,0.5,0.0,0.5,0.0,0.5025,0.012499843749023536,0.5,0.0125
2,0.625,0.0855816496101822,0.5,0.029824035567021658,0.5711206896551724,0.02442759824683546,0.48,0.012489995996796656,0.58125,0.01233385679491621
3,0.53125,0.08821554523934542,0.552801724137931,0.028325737550060452,0.5549568965517241,0.025698087121121493,0.496875,0.012499755856990816,0.56125,0.012405856416930806
4,0.59375,0.08682074519880027,0.5129310344827586,0.029736303289971185,0.5829741379310344,0.023229888295517174,0.51125,0.012496835536947073,0.586875,0.012309872419500333
5,0.65625,0.08396166117267452,0.5517241379310345,0.028387801448964422,0.6002155172413794,0.02099824724571652,0.480625,0.012490611708774687,0.583125,0.012326045451983804
6,0.6875,0.08193819126329309,0.5581896551724138,0.027993918508652633,0.5818965517241379,0.02334908262933238,0.518125,0.01249178440953794,0.559375,0.012411552314653171
7,0.8125,0.0689981317681863,0.5808189655172413,0.026179329831005314,0.5883620689655173,0.022600427996944335,0.5,0.0125,0.5725,0.012367895688030399
8,0.625,0.0855816496101822,0.5743534482758621,0.026771430579995058,0.5474137931034482,0.02616338478917884,0.49375,0.012499023399350186,0.5775,0.01234893087477624
9,0.65625,0.08396166117267452,0.548491379310345,0.02856556343127343,0.5689655172413793,0.024619956161197984,0.48875,0.012496835536947075,0.551875,0.012432542589284622
10,0.8125,0.0689981317681863,0.5495689655172414,0.028507705525023002,0.613146551724138,0.018833689997453617,0.490625,0.012497802541221952,0.58875,0.01230151000639764
11,0.90625,0.05152697639950359,0.5743534482758621,0.026771430579995058,0.6120689655172415,0.019033967384327256,0.500625,0.012499990234371147,0.583125,0.01232604545198381
12,0.71875,0.07948042948974923,0.6185344827586207,0.021222567231930098,0.552801724137931,0.025838907327765157,0.480625,0.012490611708774687,0.57625,0.012353793382499974
13,0.8125,0.0689981317681863,0.6056034482758621,0.023258769066971312,0.5905172413793103,0.02233230794834343,0.495625,0.012499521475215563,0.565625,0.012391866268216995
14,0.84375,0.06418623720763665,0.5937499999999998,0.024795461164857827,0.6066810344827587,0.01997807483702242,0.489375,0.01249717741569591,0.585625,0.012315345086897776
15,0.75,0.07654655446197431,0.5969827586206896,0.024403818637162202,0.5431034482758621,0.026395363607577348,0.501875,0.012499912109066046,0.5775,0.012348930874776242
16,0.875,0.05846339666834283,0.5786637931034483,0.026383675572378685,0.5775862068965517,0.023804657364627713,0.49375,0.012499023399350186,0.575625,0.012356194280981947
17,0.875,0.05846339666834283,0.6045258620689655,0.023410389840060008,0.43318965517241376,0.02480497185326962,0.518125,0.012491784409537932,0.434375,0.012391866268217006
18,0.75,0.07654655446197431,0.5894396551724138,0.025288143962842822,0.42672413793103453,0.024227723228358967,0.463125,0.012465959509174467,0.421875,0.012346469241624303
19,0.65625,0.08396166117267452,0.5592672413793104,0.027923183255239327,0.4094827586206896,0.02233230794834343,0.519375,0.012490611708774689,0.42375,0.012353793382499968
20,0.71875,0.07948042948974923,0.5603448275862069,0.027850965481293285,0.45043103448275845,0.02603826028058245,0.515,0.01249437373380516,0.440625,0.012411552314653167
21,0.6875,0.08193819126329309,0.5581896551724137,0.02799391850865263,0.41594827586206895,0.023108508959059634,0.515,0.012494373733805164,0.451875,0.012441964886398532
22,0.625,0.0855816496101822,0.5614224137931034,0.027777253623650806,0.45905172413793105,0.026502377839328406,0.4875,0.012496093139457588,0.416875,0.012326045451983805
23,0.53125,0.08821554523934542,0.5506465517241379,0.02844845443876815,0.39870689655172414,0.020836042605247313,0.515625,0.012493894993530841,0.430625,0.012379092994213107
24,0.46875,0.08821554523934542,0.5258620689655172,0.029471539506847718,0.386853448275862,0.018833689997453613,0.51875,0.012491207845420604,0.42875,0.012372435024581765
25,0.40625,0.08682074519880027,0.4913793103448276,0.029785075347166495,0.4418103448275862,0.025474716830752316,0.493125,0.012498818303518728,0.42375,0.012353793382499957
26,0.21875,0.07307924583542853,0.45474137931034475,0.028730861223911434,0.3911637931034482,0.019611439870073206,0.505625,0.012499208959345155,0.415625,0.012320736061996409
27,0.375,0.0855816496101822,0.43534482758620674,0.027547032394750467,0.3954741379310344,0.020330963494175968,0.48625,0.012495272543546189,0.45375,0.012446408555784248
28,0.3125,0.08193819126329309,0.4407327586206895,0.02792318325523932,0.39870689655172403,0.020836042605247317,0.4925,0.012498593670889542,0.42875,0.012372435024581753
29,0.3125,0.08193819126329309,0.45150862068965514,0.02856556343127343,0.40624999999999994,0.021911563579897795,0.479375,0.012489360706592388,0.4275,0.012367895688030399
30,0.3125,0.08193819126329309,0.4127155172413792,0.02552239102095891,0.42564655172413784,0.02412490869283085,0.499375,0.012499990234371153,0.41125,0.012301510006397638
