trial,choice,reward,cumulative_reward,model_id
1,2,1,1,3479
2,2,0,1,3479
3,1,1,2,3479
4,1,0,2,3479
5,1,1,3,3479
6,1,1,4,3479
7,2,1,5,3479
8,1,1,6,3479
9,1,1,7,3479
10,2,1,8,3479
11,1,1,9,3479
12,1,1,10,3479
13,1,1,11,3479
14,1,1,12,3479
15,1,1,13,3479
16,1,1,14,3479
17,1,1,15,3479
18,1,1,16,3479
19,1,1,17,3479
20,1,1,18,3479
21,1,1,19,3479
22,2,0,19,3479
23,1,1,20,3479
24,1,1,21,3479
25,2,0,21,3479
26,1,1,22,3479
27,1,1,23,3479
28,2,0,23,3479
29,1,1,24,3479
30,1,1,25,3479
31,1,1,26,3479
32,2,0,26,3479
33,1,1,27,3479
34,1,1,28,3479
35,1,1,29,3479
36,1,1,30,3479
37,1,1,31,3479
38,2,0,31,3479
39,1,1,32,3479
40,1,1,33,3479
41,1,1,34,3479
42,1,1,35,3479
43,1,1,36,3479
44,1,1,37,3479
45,2,1,38,3479
46,1,1,39,3479
47,2,0,39,3479
48,1,1,40,3479
49,1,1,41,3479
50,1,1,42,3479
51,1,1,43,3479
52,1,1,44,3479
53,1,0,44,3479
54,1,0,44,3479
55,1,0,44,3479
56,1,0,44,3479
57,1,0,44,3479
58,2,1,45,3479
59,2,1,46,3479
60,1,1,47,3479
61,1,0,47,3479
62,2,1,48,3479
63,2,1,49,3479
64,2,1,50,3479
65,2,1,51,3479
66,1,0,51,3479
67,2,1,52,3479
68,2,1,53,3479
69,2,1,54,3479
70,2,1,55,3479
71,1,0,55,3479
72,2,1,56,3479
73,2,1,57,3479
74,2,1,58,3479
75,2,1,59,3479
76,2,1,60,3479
77,2,1,61,3479
78,2,1,62,3479
79,2,1,63,3479
80,2,1,64,3479
81,2,1,65,3479
82,2,1,66,3479
83,1,0,66,3479
84,1,0,66,3479
85,2,1,67,3479
86,1,0,67,3479
87,2,1,68,3479
88,2,1,69,3479
89,2,0,69,3479
90,2,1,70,3479
91,1,0,70,3479
92,2,1,71,3479
93,2,1,72,3479
94,1,0,72,3479
95,1,0,72,3479
96,2,1,73,3479
97,2,1,74,3479
98,2,1,75,3479
99,2,1,76,3479
100,2,1,77,3479
