participant_id,trial,choice,reward,p_choice,nll
223,1,0,1.0,0.5,0.6931471805579453
223,2,0,1.0,0.9379772435167921,0.0640295909122192
223,3,0,1.0,0.9701085975960765,0.030347257465699936
223,4,0,0.0,0.9774058376092617,0.022853321573104383
223,5,0,1.0,0.8772628108779541,0.13094866117265871
223,6,0,1.0,0.9607574182280745,0.040033328277297754
223,7,0,0.0,0.9749441960110911,0.02537504448166075
223,8,0,1.0,0.872257103604396,0.1366710549468153
223,9,0,1.0,0.9601089006597034,0.04070856276564713
223,10,0,1.0,0.9747900106252834,0.025533204897171886
223,11,0,0.0,0.9788225495816721,0.021404909690972723
223,12,0,1.0,0.8803411590797346,0.12744576586509723
223,13,0,1.0,0.9611766120139739,0.03959710748516841
223,14,0,1.0,0.9750540146284711,0.025262409898821836
223,15,1,0.0,0.021089849931946167,3.858963400071717
223,16,0,0.0,0.9252670340584214,0.07767289766169948
223,17,0,1.0,0.8859545068085719,0.12108967641140268
223,18,0,1.0,0.963118649560767,0.037578666505855944
223,19,0,1.0,0.9763096809029952,0.023975446888585623
223,20,0,1.0,0.979972734615587,0.02023052952436268
223,21,1,0.0,0.01879692452566205,3.9740620115357124
223,22,1,0.0,0.06889346291202439,2.675193983358863
223,23,0,1.0,0.931729181463665,0.07071308435007563
223,24,0,0.0,0.9822216263080759,0.01793830738575605
223,25,0,1.0,0.8929599311927532,0.1132135689961364
223,26,0,1.0,0.9647614141733447,0.035874447409370416
223,27,0,1.0,0.9771781505164717,0.02308629912249887
223,28,0,1.0,0.9806451777788154,0.019544579258027023
223,29,0,1.0,0.9818121542809697,0.01835527784429436
223,30,0,0.0,0.9822338906618477,0.01792582112310863
223,31,0,1.0,0.8930113280857733,0.11315601275857966
223,32,0,1.0,0.9647770337733922,0.0358582574235586
223,33,0,1.0,0.977187739771084,0.023076485960429296
223,34,0,1.0,0.9806531287858,0.019536471356278465
223,35,0,0.0,0.9818195603232652,0.01834773463520837
223,36,0,0.0,0.8920562499331107,0.1142260879261055
223,37,1,0.0,0.21413863727536314,1.5411316359765523
223,38,0,0.0,0.48261456201105374,0.7285369521642673
223,39,1,1.0,0.278219198234991,1.279345993117531
223,40,1,1.0,0.9245283767347168,0.07847153448245793
223,41,1,0.0,0.9640870868564414,0.03657364938818305
223,42,1,1.0,0.840219424139023,0.1740922020422634
223,43,1,1.0,0.9512914297482551,0.049934817798791005
223,44,1,1.0,0.9696966090856891,0.030772030546174715
223,45,1,1.0,0.9747057031537748,0.025619696466212174
223,46,1,1.0,0.9763746085850675,0.023908945936592797
223,47,0,0.0,0.023024686533992252,3.7711883110488684
223,48,1,0.0,0.9259278886882476,0.07695892135398767
223,49,1,1.0,0.8818272638870039,0.12575908808763292
223,50,1,1.0,0.9607806052344977,0.04000919447807941
223,51,1,1.0,0.974566077404593,0.025762955862683262
223,52,1,1.0,0.978422132356821,0.021814073894234752
223,53,1,0.0,0.9797207172048186,0.020487730375774765
223,54,1,1.0,0.8808530027235297,0.12686451972051446
223,55,1,1.0,0.9606564041668881,0.04013847383220315
223,56,1,0.0,0.9745406815470473,0.025789014832958194
223,57,1,0.0,0.8698891238138352,0.13938951934616442
223,58,0,1.0,0.24132946507542039,1.421592204081857
223,59,0,1.0,0.9040699931326776,0.100848495554372
223,60,0,0.0,0.9526396350794516,0.04851858421613202
223,61,0,1.0,0.7961155455918139,0.22801094589220827
223,62,0,1.0,0.9352330088755257,0.0669595733858719
223,63,0,1.0,0.9593844791352983,0.04146336772243783
223,64,0,1.0,0.9660184928036013,0.03457230126279372
223,65,0,0.0,0.9682348637485576,0.03228059329448231
223,66,1,0.0,0.1762240373751989,1.735999153807261
223,67,0,1.0,0.6211726744385975,0.47614617702090717
223,68,0,1.0,0.9553922666165927,0.04563327245133943
223,69,0,1.0,0.9710892273345375,0.02933692270302624
223,70,0,0.0,0.9754830443976293,0.024822500516847965
223,71,0,0.0,0.8632694380767981,0.1470284256440311
223,72,1,1.0,0.2598696441842142,1.3475751422122375
223,73,1,1.0,0.9054324549116028,0.09934259868435623
223,74,1,1.0,0.9519399153108551,0.04925336035077413
223,75,1,0.0,0.9630175582685249,0.03768363446390992
223,76,1,1.0,0.810683295069391,0.20987781276338452
223,77,1,1.0,0.9360405599856567,0.06609647012432848
223,78,1,1.0,0.9587460839477151,0.04212901084751082
223,79,1,0.0,0.9651065843921951,0.03551673359393098
223,80,1,1.0,0.814677546562098,0.2049628924195857
223,81,1,0.0,0.9366392867878762,0.06545703693594791
223,82,1,1.0,0.770270426748351,0.26101362222136004
223,83,1,1.0,0.9303204878896627,0.07222614156432113
223,84,1,1.0,0.9573687076816909,0.043566687242769575
223,85,1,1.0,0.9646783520683143,0.03596054712239066
223,86,1,0.0,0.9671047512212654,0.03344846341608608
223,87,1,0.0,0.8186703797573183,0.20007374285809415
223,88,0,1.0,0.33244908017101954,1.1012685729535046
223,89,0,1.0,0.9157023546684226,0.08806390742977506
223,90,0,0.0,0.9538352511202542,0.0472643151919761
223,91,0,1.0,0.7940582192461901,0.2305984964341692
223,92,0,1.0,0.9333062138331226,0.06902192851540002
223,93,0,1.0,0.9578601604131213,0.043053482006149175
223,94,0,1.0,0.9646435662432009,0.035996607278849756
223,95,0,0.0,0.9669146037037832,0.033645097971588746
223,96,0,1.0,0.8175317145031653,0.20146558246270777
223,97,0,1.0,0.9367507499188678,0.06533804075369119
223,98,0,1.0,0.95872162920025,0.04215451818439975
223,99,0,1.0,0.9649263910270948,0.03570345927988416
223,100,0,0.0,0.9670214984038613,0.03353455171303312
223,101,0,0.0,0.8177765763888812,0.20116611368497408
