participant_id,trial_index,choice,p_choice,nll
13,5,0,0.547384658095952,0.6026035096281062
13,6,0,0.636422949359201,0.4518919219490208
13,7,0,0.6941872307977257,0.365013569848192
13,8,0,0.739193927160811,0.3021949741080374
13,9,0,0.753679549492751,0.282788001983981
13,10,0,0.8172462409000005,0.2018148330812675
13,15,0,0.6468808306196112,0.43559318904923927
13,16,1,0.30050321130672625,1.2022968385158017
13,17,1,0.3233682441879713,1.1289635302628769
13,18,1,0.5991102776620116,0.5123095948682967
13,19,0,0.6189329467780182,0.4797583372394095
13,20,0,0.5643115882324774,0.5721487186278235
13,25,1,0.6141539490569023,0.48750965089818826
13,26,0,0.5087289209754371,0.6758399760538498
13,27,0,0.5480527984938619,0.6013836490568941
13,28,0,0.6457290342861577,0.4373753147618186
13,29,0,0.6961637927759885,0.36217031188482923
13,30,1,0.43881592441361456,0.8236752604131803
13,35,1,0.7067392505232974,0.34709349225272695
13,40,0,0.8180143660830066,0.20087538008372222
13,45,0,0.688326590864521,0.3734918576558425
13,50,0,0.44156159503146153,0.8174377555718614
13,51,0,0.37906119077035094,0.9700576337093177
13,52,0,0.39982326126504214,0.9167326763521257
13,53,0,0.4285374140418114,0.8473772307703893
13,54,1,0.6557043689729072,0.4220452486664266
13,55,1,0.7274892313013434,0.31815608237959375
13,60,1,0.41451642524639554,0.880642678539561
13,65,0,0.46170928593067023,0.7728198371921959
13,66,1,0.7556842599031767,0.28013163567022653
13,67,1,0.8189628702986602,0.19971653156619867
13,68,1,0.8187674279593793,0.1999552062007418
13,69,1,0.837530397815406,0.17729772004140962
13,70,1,0.7984321943401276,0.2251052312242997
13,75,0,0.7240904784215975,0.3228389242075875
13,80,0,0.302221036276371,1.196596621118241
13,85,1,0.7262406280676427,0.31987387545192403
13,86,1,0.6255716423696194,0.46908941946987714
13,87,1,0.6087614774421247,0.49632875064705817
13,88,1,0.6543565087113145,0.4241029556938451
13,89,1,0.7073209863086364,0.34627070436434104
13,90,1,0.8235138546798534,0.1941749053640679
13,95,1,0.6190099612282334,0.4796339139726881
13,100,1,0.4503330000908352,0.7977679696788446
13,101,1,0.49031028140480576,0.7127168609225252
13,102,0,0.6046174307121814,0.5031593668949317
13,103,0,0.6527710068488557,0.4265288898451188
13,104,0,0.7741773982665169,0.2559542349259094
13,105,0,0.7942837139365047,0.2303145592199985
13,110,0,0.7117708564496168,0.3399992501966015
13,111,0,0.6927637927378377,0.36706618531262275
13,112,1,0.21973791633436485,1.5153197321637313
13,113,1,0.4303685010255673,0.8431134581599357
13,114,0,0.635980084984934,0.4525880290474727
13,115,0,0.6210177304255697,0.47639564604469664
13,120,0,0.30130669137520333,1.1996266247413272
13,121,1,0.7989232202913824,0.2244904325862222
13,122,1,0.8277682613272311,0.18902204139283782
13,123,1,0.8541981749786588,0.15759205710285665
13,124,0,0.19170225235201396,1.6518118796358996
13,125,0,0.2943432619939703,1.2230086349029785
13,130,1,0.8243473396870654,0.19316330914329696
13,135,1,0.7590768982321227,0.2756521915233899
13,136,0,0.17193253132981653,1.7606531388272015
13,137,0,0.15768054162962253,1.8471841811446974
13,138,0,0.13149047082340376,2.0288208952037077
13,139,0,0.17309860368599825,1.7538938833432056
13,140,0,0.20361793286788687,1.591509919260684
13,145,1,0.17259013943651286,1.756835631527263
13,146,1,0.1302349764149669,2.0384149492165418
13,147,1,0.13744810323672785,1.9845088641188604
13,148,1,0.1750304430212065,1.742795360061037
13,149,0,0.8788187428756424,0.1291766108922861
13,150,1,0.06580392872506258,2.7210757353502446
13,155,0,0.7875800650614921,0.2387902435297601
13,160,1,0.6131641878824063,0.4891225357065659
13,165,1,0.12120805674462373,2.110246732757399
13,170,1,0.1262527967338051,2.069469058717136
13,171,0,0.8308478161151388,0.18530863433191316
13,172,0,0.6508743057218149,0.4294387341824699
13,173,0,0.7471116400595564,0.2915406537970896
13,174,0,0.6410665654284358,0.44462198122934415
13,175,0,0.6107824690793199,0.4930144076207432
13,180,0,0.8329877258051773,0.1827363718504123
13,181,0,0.7308368138691732,0.31356508099311914
13,182,0,0.687660870542116,0.3744594832963643
13,183,0,0.6621251935021917,0.4123006268717776
13,184,0,0.590934778356021,0.5260496257758907
13,185,0,0.5105021205329421,0.6723604875487431
13,190,0,0.3653376256512395,1.0069333511632046
13,191,0,0.40386748871091,0.9066684530620208
13,192,0,0.30604309563570237,1.1840293515320721
13,193,0,0.3121314177353966,1.1643309691633978
13,194,1,0.594629482089956,0.5198167865814867
13,195,1,0.5349554601414734,0.6255717876219196
13,200,1,0.8212200248052933,0.19696420932427194
13,205,1,0.6321784341502878,0.45858359216574435
13,210,1,0.7531063519376339,0.2835488235210312
13,211,1,0.758352092098687,0.2766074997363943
13,212,0,0.4005470746624506,0.9149239796470174
13,213,0,0.32138615492377787,1.1351119040030422
13,214,0,0.260642246757586,1.3446065140052348
13,215,0,0.21809053365065462,1.522845010422828
13,220,1,0.7528190097896408,0.28393043891683045
13,221,1,0.7641310523374233,0.26901597005159633
13,222,1,0.7679474567923621,0.26403396380856425
13,223,1,0.6219787905165677,0.47484928567069074
13,224,1,0.6871043657031085,0.375269083153462
13,225,1,0.6604896184424247,0.41477387286708994
13,230,0,0.13162648952847064,2.027786992128813
13,231,0,0.1325982654301306,2.020431282529128
13,232,1,0.8334741096570547,0.18215263947162322
13,233,1,0.7799668542124145,0.24850385479960718
13,234,1,0.7507077197295847,0.28673889107975886
13,235,0,0.1534012983279448,1.8746979264019765
13,240,1,0.7322831741480099,0.31158798989762626
13,241,1,0.7037100340239751,0.35138889115864835
13,242,0,0.21386009726146785,1.542433228858687
13,243,0,0.37310195461922707,0.9859035599045637
13,244,1,0.4960476886334515,0.7010832104385559
13,245,1,0.609147984812242,0.4956940443818213
13,250,1,0.26477601519430133,1.3288710360786524
13,255,0,0.5167012858752704,0.6602903550598702
13,256,1,0.7341760454060965,0.30900643524668836
13,257,1,0.7628873891606017,0.2706448481554892
13,258,1,0.8018264128787659,0.22086313733605384
13,259,1,0.8073113868407288,0.21404582783519338
13,260,0,0.26828871998417847,1.315691564979364
13,265,1,0.38935383633840515,0.943266743817996
13,266,0,0.7626373208066454,0.2709726938528575
13,267,0,0.7120678869768328,0.33958202523640746
13,268,1,0.18584936900363666,1.682818777430883
13,269,0,0.7903906041303033,0.23522802010483504
13,270,0,0.8275780626671241,0.18925184062963424
13,275,1,0.7531846037209325,0.28344492356322426
13,276,1,0.7947162624199335,0.22977013064787957
13,277,0,0.2700660048550271,1.3090888874301032
13,278,0,0.12751162847287917,2.059547714825763
13,279,1,0.8473289155348842,0.16566632968011474
13,280,1,0.8540157372160535,0.15780565770872496
13,285,1,0.8075117468896054,0.21379767675818762
13,286,1,0.8206545693547984,0.19765300184820947
13,287,1,0.8185576745018954,0.200211420996833
13,288,0,0.14055910880096442,1.9621271754622938
13,289,0,0.1838576505284882,1.6935934592124882
13,290,1,0.8321137590483326,0.1837861178809702
13,295,0,0.4253122401908603,0.8549316970006436
13,296,0,0.46215708353801294,0.7718504380297027
13,297,0,0.4312618557180586,0.8410398194919979
13,298,0,0.4862495932638656,0.721033220523115
13,299,0,0.4612993210042786,0.773708160335165
13,300,0,0.35736190059716183,1.029006283511176
13,305,1,0.5899622642501523,0.5276967030241814
13,310,1,0.1465154792299288,1.9206241958272916
13,311,1,0.11121103974656757,2.1963256237879563
13,312,0,0.9429639184360612,0.0587272596076852
13,313,0,0.885000902899353,0.12216661374834047
13,314,0,0.9018846217775148,0.1032686808722254
13,315,1,0.09282612578903797,2.377027150901636
13,320,0,0.6438613895554601,0.44027180965184176
13,321,0,0.6585609432411511,0.4176982134977843
13,322,1,0.4408126111250412,0.8191354119201002
13,323,1,0.40058423080043354,0.9148312204756903
13,324,1,0.46231090231589195,0.7715176654910062
13,325,0,0.38569348659498465,0.9527123011390015
13,330,1,0.7125156204860968,0.33895344358898544
13,331,0,0.33286255305367124,1.100025627797479
13,332,1,0.6506484206184725,0.4297858431511242
13,333,0,0.31662266350791146,1.1500445500514056
13,334,1,0.5424709820080529,0.6116206843823649
13,335,1,0.43429703878230824,0.8340265578313842
13,340,1,0.7517287178389561,0.285379767670599
13,341,1,0.6248119077356367,0.47030462216093993
13,342,0,0.3029057290012803,1.1943336472873334
13,343,0,0.3306018045668048,1.1068406351473012
13,344,0,0.311370455645837,1.1667718999765073
13,345,0,0.2956113488796271,1.2187096979501215
13,350,1,0.3731657776147445,0.9857325140642677
13,355,1,0.755510393821565,0.2803617398225275
